code,rdkit_smiles
07J,CCN1CCN(CC1)c1ccc(cc1)Nc1cc(ncn1)N(C)C(=O)Nc1c(Cl)c(cc(OC)c1Cl)OC
07K,Cc1cccc2c(N)ccnc12
07L,O=C1C=Cc2ccc(O)cc2O1
07M,N#Cc1ncccc1CSc1nc(O)c(C#N)c2CCOCc12
07N,Cc1[nH]c(C(=O)NC2CCN(CC2F)c2ncc(s2)C(=O)O)c(Cl)c1Cl
07O,CC(C(=O)SCC(N)C(=O)O)c1ccccc1
07P,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCC1CC1CCCCCCCCCC
07Q,COc1cccc(c1)C(C)NC(=O)Nc1nc(cs1)c1ccncc1
07R,O=C(NCc1cccc(O)c1)Nc1nc(cs1)c1ccncc1
07S,O=C(CN1CCN(CC1)c1ccnc(c1)Nc1ncc(s1)c1cccnc1)N1CCOCC1
07T,Cn1c2C(=O)N(Cc3cccc(N)c3)N=Cc2c2sc(cc21)S(C)=O
07U,CC(C)(N)CNc1nc(cc2cnccc12)c1ccncc1
07V,C=C(C)C1CC=C(C)C(=O)C1
07Z,Nc1nc(Nc2ccc(cc2)C(=O)O)sc1C(=O)c1cccnc1
082,COc1ccc2c(noc2c1)N1C(=O)N(Cc2cccc(c2)C2(C)OC(=O)NC2=O)c2ccccc21
083,Cc1cc(C)nc(n1)C(N)=Nc1nc(cc2ccccc12)c1ccccn1
084,CC(Nc1nccc(n1)c1c(nc(C2CCNCC2)n1C)c1cccc(c1)C(F)(F)F)c1ccccc1
085,NC(=O)c1ccc(cc1)c1nc(c2ccccn2)c([nH]1)c1ccc2OCOc2c1
087,Cc1[nH]c(C(=O)NC2CCN(CC2)c2cc(cc(Cl)n2)C(N)=O)c(Cl)c1Cl
088,CC(C)c1onc(c1COc1ccc2c(ccn2Cc2cccc(c2)C(=O)O)c1)c1c(Cl)cccc1Cl
08B,Cc1[nH]c(cc1Br)C(=O)NC1CCN(CC1)c1ncccc1[N+](=O)[O-]
08C,COc1ccc(cc1)C1=Nc2ccccc2C(=O)N1
08D,Cc1cc(no1)NS(=O)(=O)c1ccc(N)cc1
08E,Nc1cc(ccn1)Cn1c(C(=O)O)c(C2=CC=CNC2=O)c2cc(Cl)ccc21
08F,CS(=O)(=O)Nc1cccc(c1)S(=O)(=O)NC(=O)c1c(C2=CC=CNC2=O)c2cc(Cl)ccc2n1Cc1ccnc(N)c1
08H,Cc1nnc2CN=C(c3ccccc3)c3cc(Cl)ccc3-n12
08J,Cc1ncc2CN=C(c3ccccc3F)c3cc(Cl)ccc3-n21
08K,Cc1nnc2N(C)N=C(c3ccccc3)c3cc(Cl)ccc3-n12
08L,O=C1C=CC(=O)NC(CC2CCCCC2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCCNC(=O)c2cnccn2)C(=O)NCCC(N1)C(=O)O
08M,NC(CCCNC(=O)c1cnccn1)C(=O)O
08P,O=C(O)C(=O)NC(CS)C(=O)O
08Q,CC1=CN(C(=O)NC1=O)C1CC(O)C(COP(=O)(O)NCCS)O1
08R,COc1ccccc1CNCCOC1CNCC1Cc1cc(C)cc(N)n1
08S,CC(C)c1nnc(NS(=O)(=O)c2ccc(cc2)CCNC(=O)c2sc3cc(F)ccc3c2Cl)s1
08W,CNC(=O)c1cn(cn1)c1cc2C(=O)N(NS(C)(=O)=O)C(=O)Nc2cc1C(F)(F)F
08X,NC(=O)C1CCNC(=O)C(CCCNC(=O)c2cnccn2)NC(=O)C(CC2CCCCC2)NC(=O)C(CC=Cc2ccccc2)NC(=O)C=CC(=O)N1
08Y,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(CC4N(C)C3)c56)(C(=O)N12)C(C)C
08Z,NC(=O)c1ccc(cc1)Nc1nc(N)c(s1)C(=O)c1cccnc1
090,COc1ccc2c(nc(NC(=O)c3cccnc3)[n+]3cc[nH]c23)c1OC
091,O=C1Nc2ccccc2C12CCNC2
092,COC(=O)C1CC2(CN1)C(=O)Nc1ccccc12
093,CC(=O)N=C1NC(C)=C(S1)c1ccc(Cl)c(c1)S(=O)(=O)NCCO
094,O=C1NCc2nc(Sc3ccc(F)cc3F)c(cc2N1c1c(Cl)cccc1Cl)C1=CCNCC1
